Subject,Level,Count
Biology,Higher Level,250
Biology,Standard Level,107
Business management,Higher Level,121
Business management,Standard Level,71
Chemistry,Higher Level,285
Chemistry,Standard Level,154
Computer science,Higher Level,104
Computer science,Standard Level,34
Dance,Higher Level,3
Design technology,Higher Level,15
Design technology,Standard Level,8
ES&S,Higher Level,1
ES&S,Standard Level,93
Economics,Higher Level,189
Economics,Standard Level,129
Geography,Higher Level,48
Geography,Standard Level,40
Global politics,Higher Level,32
Global politics,Standard Level,14
History,Higher Level,149
History,Standard Level,95
ITGS,Higher Level,11
ITGS,Standard Level,12
Language A: language and literature,Higher Level,264
Language A: language and literature,Standard Level,383
Language A: literature,Higher Level,166
Language A: literature,Standard Level,172
Language B,Higher Level,177
Language B,Standard Level,428
Language ab inito,Higher Level,2
Language ab inito,Standard Level,208
Latin or Classical Greek,Higher Level,5
Latin or Classical Greek,Standard Level,7
Literature and performance,Higher Level,2
Literature and performance,Standard Level,1
Mathematics: analysis and approaches,Higher Level,384
Mathematics: analysis and approaches,Standard Level,255
Mathematics: applications and interpretation,Higher Level,95
Mathematics: applications and interpretation,Standard Level,162
Music,Higher Level,13
Music,Standard Level,17
Philosophy,Higher Level,11
Philosophy,Standard Level,8
Physics,Higher Level,304
Physics,Standard Level,122
Psychology,Higher Level,99
Psychology,Standard Level,76
Social and cultural anthropology,Higher Level,10
Social and cultural anthropology,Standard Level,4
"Sports, exercise and health science",Higher Level,4
"Sports, exercise and health science",Standard Level,5
Theatre,Higher Level,15
Theatre,Standard Level,8
Visual Arts,Higher Level,49
Visual Arts,Standard Level,24
World religions,Higher Level,2
World religions,Standard Level,5
